       DM2	0.01	0	   2   0   0   0   0   0   0   0   0   0
      DRAM	0.0347641875	0	   1   1  -2   0   0   0   0   0   0   0
    DRACHM	3.551631e-06	0	   3   0   0   0   0   0   0   0   0   0
      DYNE	1e-05	0	   1   1  -2   0   0   0   0   0   0   0
        EV	1.6e-19	0	   2   1  -2   0   0   0   0   0   0   0
       ERG	1e-07	0	   2   1  -2   0   0   0   0   0   0   0
        EL	1.60209e-19	0	   0   0   1   1   0   0   0   0   0   0
     ERG/S	1e-07	0	   2   1  -3   0   0   0   0   0   0   0
       EXP	2.718281829	0	   0   0   0   0   0   0   0   0   0   0
       EXA	0	0	   0   0   0   0   0   0   0   0   0   0
         F	1	0	  -2  -1   4   2   0   0   0   0   0   0
 FOOTPND/M	0.02256085757	0	   2   1  -3   0   0   0   0   0   0   0
    FATHOM	1.828799013	0	   1   0   0   0   0   0   0   0   0   0
     FEMTO	1e-15	0	   0   0   0   0   0   0   0   0   0   0
   FOOTPND	1.353651454	0	   2   1  -2   0   0   0   0   0   0   0
      FOOT	0.3047998354	0	   1   0   0   0   0   0   0   0   0   0
 FOOTPND/H	0.0003760142929	0	   2   1  -3   0   0   0   0   0   0   0
         G	0.001	0	   0   1   0   0   0   0   0   0   0   0
      FT/S	0.3047998354	0	   1   0  -1   0   0   0   0   0   0   0
 FOSSORIER	450	0	   2   0   0   0   0   0   0   0   0   0
   FURLONG	201.1678914	0	   1   0   0   0   0   0   0   0   0   0
     GAUSS	0.0001	0	   0   1  -2  -1   0   0   0   0   0   0
    GALLON	0.004546087	0	   3   0   0   0   0   0   0   0   0   0
       GBQ	1000000000	0	   0   0   0   0   0   0   1   0   0   0
      JOUR	86400	0	   0   0   1   0   0   0   0   0   0   0
   HECTARE	10000	0	   2   0   0   0   0   0   0   0   0   0
     GRAIN	0.000648	0	   0   1   0   0   0   0   0   0   0   0
      GIGA	1000000000	0	   0   0   0   0   0   0   0   0   0   0
       GHZ	1000000000	0	   0   0  -1   0   0   0   0   0   0   0
      GOHM	1000000000	0	   2   1  -3  -2   0   0   0   0   0   0
      GY/S	1	0	   2   0  -3   0   0   0   0   0   0   0
        GY	1	0	   2   0  -2   0   0   0   0   0   0   0
         H	1	0	   2   1  -2  -2   0   0   0   0   0   0
        HZ	1	0	   0   0  -1   0   0   0   0   0   0   0
      HEMI	0.5	0	   0   0   0   0   0   0   0   0   0   0
     HECTO	100	0	   0   0   0   0   0   0   0   0   0   0
        HR	3600	0	   0   0   1   0   0   0   0   0   0   0
         J	1	0	   2   1  -2   0   0   0   0   0   0   0
      INCH	0.02539998628	0	   1   0   0   0   0   0   0   0   0   0
       J/K	1	0	   2   1  -2   0  -1   0   0   0   0   0
     KG/M3	1	0	  -3   1   0   0   0   0   0   0   0   0
    KCAL/H	1.1625	0	   2   1  -3   0   0   0   0   0   0   0
       KBQ	1000	0	   0   0   0   0   0   0   1   0   0   0
         K	1	0	   0   0   0   0   1   0   0   0   0   0
      KCAL	4185	0	   2   1  -2   0   0   0   0   0   0   0
        KG	1	0	   0   1   0   0   0   0   0   0   0   0
       KEV	1.6e-16	0	   2   1  -2   0   0   0   0   0   0   0
      KG/L	1000	0	  -3   1   0   0   0   0   0   0   0   0
       KHZ	1000	0	   0   0  -1   0   0   0   0   0   0   0
       KGM	9.8066	0	   2   1  -2   0   0   0   0   0   0   0
       KGF	9.81	0	   1   1  -2   0   0   0   0   0   0   0
      KGM2	1	0	   2   1   0   0   0   0   0   0   0   0
        KM	1000	0	   1   0   0   0   0   0   0   0   0   0
      KILO	1000	0	   0   0   0   0   0   0   0   0   0   0
      KM/H	0.2777777778	0	   1   0  -1   0   0   0   0   0   0   0
       KM2	1000000	0	   2   0   0   0   0   0   0   0   0   0
     NOEUD	0.5144444444	0	   1   0  -1   0   0   0   0   0   0   0
     MILLI	0.001	0	   0   0   0   0   0   0   0   0   0   0
        MA	0.001	0	   0   0   0   1   0   0   0   0   0   0
